Time;chgVoltage;chgSense;batVoltage
0;0;0;0
0.0;29.09;1.2;29.08
5.0;29.08;1.2;29.09
10.0;29.09;1.2;29.09
15.0;29.09;1.21;29.09
20.0;29.1;1.2;29.09
25.005;29.1;1.2;29.09
30.005;29.09;1.2;29.08
35.005;29.1;1.2;29.09
40.005;29.09;1.2;29.08
45.005;29.09;1.2;29.08
50.011;29.09;1.2;29.08
55.011;29.08;1.2;29.08
60.011;29.08;1.2;29.09
65.011;29.08;1.2;29.09
70.011;29.08;1.2;29.08
75.016;29.08;1.2;29.08
80.016;29.08;1.2;29.09
85.016;29.08;1.2;29.09
90.016;29.08;1.2;29.09
95.016;29.08;1.2;29.1
100.021;29.08;1.2;29.09
105.021;29.08;1.19;29.1
110.021;29.08;1.19;29.1
115.021;29.08;1.2;29.1
120.021;29.08;1.2;29.09
125.026;29.08;1.2;29.09
130.026;29.08;1.2;29.09
135.026;29.08;1.2;29.09
140.026;29.08;1.19;29.1
145.026;29.07;1.19;29.1
150.031;29.08;1.19;29.1
155.031;29.08;1.19;29.09
160.031;29.08;1.19;29.09
165.031;29.08;1.19;29.09
170.031;29.08;1.19;29.1
175.036;29.08;1.19;29.1
180.036;29.08;1.19;29.09
185.036;29.08;1.19;29.09
190.036;29.08;1.19;29.09
195.036;29.09;1.19;29.09
200.042;29.09;1.18;29.09
205.042;29.08;1.18;29.1
210.042;29.08;1.18;29.09
215.042;29.08;1.18;29.09
220.042;29.09;1.18;29.1
225.047;29.09;1.18;29.09
230.047;29.09;1.18;29.09
235.047;29.08;1.18;29.09
240.047;29.08;1.18;29.09
245.047;29.08;1.18;29.09
250.052;29.08;1.18;29.09
255.052;29.09;1.18;29.09
260.052;29.09;1.18;29.08
265.052;29.09;1.17;29.09
270.052;29.09;1.17;29.09
275.057;29.08;1.17;29.09
280.057;29.09;1.17;29.08
285.057;29.09;1.18;29.08
290.057;29.09;1.18;29.08
295.057;29.09;1.18;29.08
300.062;29.09;1.18;29.08
305.062;29.1;1.18;29.09
310.062;29.09;1.18;29.09
315.062;29.09;1.18;29.08
320.062;29.09;1.17;29.08
325.067;29.09;1.17;29.08
330.067;29.09;1.17;29.09
335.067;29.08;1.17;29.09
340.067;29.08;1.17;29.09
345.067;29.08;1.16;29.09
350.073;29.09;1.17;29.09
355.073;29.08;1.17;29.1
360.073;29.09;1.17;29.1
365.073;29.09;1.17;29.1
370.073;29.09;1.17;29.09
375.078;29.09;1.16;29.1
380.078;29.09;1.16;29.09
385.078;29.09;1.16;29.1
390.078;29.09;1.16;29.1
395.078;29.1;1.16;29.1
400.083;29.1;1.16;29.1
405.083;29.1;1.16;29.1
410.083;29.1;1.16;29.1
415.083;29.1;1.16;29.1
420.083;29.09;1.16;29.09
425.088;29.09;1.16;29.09
430.088;29.1;1.16;29.09
435.088;29.1;1.16;29.09
440.088;29.09;1.15;29.09
445.088;29.09;1.16;29.09
450.093;29.09;1.16;29.09
455.093;29.1;1.15;29.09
460.093;29.09;1.16;29.1
465.093;29.09;1.15;29.09
470.093;29.09;1.15;29.09
475.098;29.09;1.15;29.09
480.098;29.1;1.16;29.1
485.098;29.1;1.16;29.1
490.098;29.1;1.16;29.09
495.098;29.09;1.15;29.09
500.103;29.09;1.15;29.1
505.103;29.09;1.15;29.1
510.103;29.08;1.15;29.1
515.103;29.09;1.15;29.1
520.103;29.1;1.15;29.1
525.109;29.09;1.15;29.1
530.109;29.09;1.15;29.1
535.109;29.08;1.15;29.1
540.109;29.08;1.16;29.1
545.109;29.08;1.16;29.1
550.114;29.09;1.16;29.09
555.114;29.09;1.15;29.1
560.114;29.1;1.15;29.09
565.114;29.09;1.15;29.09
570.114;29.09;1.15;29.09
575.119;29.09;1.15;29.09
580.119;29.1;1.14;29.09
585.119;29.1;1.14;29.09
590.119;29.09;1.14;29.09
595.119;29.09;1.14;29.1
600.124;29.09;1.14;29.1
605.124;29.09;1.15;29.1
610.124;29.09;1.14;29.1
615.124;29.09;1.14;29.1
620.124;29.1;1.14;29.09
625.129;29.1;1.14;29.09
630.129;29.1;1.14;29.09
635.129;29.1;1.14;29.09
640.129;29.1;1.14;29.09
645.129;29.09;1.14;29.09
650.135;29.1;1.14;29.1
655.135;29.1;1.14;29.1
660.135;29.09;1.14;29.1
665.135;29.1;1.14;29.1
670.135;29.09;1.14;29.1
675.14;29.09;1.14;29.09
680.14;29.09;1.13;29.08
685.14;29.09;1.13;29.09
690.14;29.09;1.13;29.1
695.14;29.09;1.13;29.1
700.145;29.1;1.13;29.09
705.145;29.1;1.13;29.09
710.145;29.1;1.13;29.09
715.145;29.1;1.13;29.09
720.145;29.09;1.13;29.1
725.15;29.1;1.14;29.1
730.15;29.1;1.13;29.09
735.15;29.1;1.13;29.09
740.15;29.1;1.13;29.09
745.15;29.1;1.13;29.1
750.155;29.1;1.13;29.1
755.155;29.1;1.13;29.09
760.155;29.1;1.13;29.1
765.155;29.1;1.13;29.1
770.155;29.1;1.13;29.1
775.16;29.1;1.13;29.09
780.16;29.1;1.13;29.09
785.16;29.1;1.13;29.1
790.16;29.1;1.13;29.1
795.16;29.1;1.12;29.1
800.166;29.1;1.12;29.1
805.166;29.11;1.12;29.1
810.166;29.11;1.12;29.1
815.166;29.1;1.12;29.11
820.166;29.09;1.12;29.11
825.171;29.09;1.12;29.11
830.171;29.1;1.12;29.1
835.171;29.1;1.12;29.1
840.171;29.1;1.12;29.11
845.171;29.1;1.13;29.1
850.176;29.1;1.13;29.11
855.176;29.1;1.12;29.11
860.176;29.1;1.12;29.11
865.176;29.1;1.12;29.1
870.176;29.1;1.11;29.11
875.181;29.11;1.12;29.1
880.181;29.11;1.12;29.1
885.181;29.11;1.12;29.1
890.181;29.11;1.12;29.1
895.181;29.11;1.12;29.11
900.186;29.11;1.12;29.11
905.186;29.12;1.12;29.1
910.186;29.11;1.11;29.1
915.186;29.11;1.11;29.1
920.186;29.1;1.11;29.1
925.191;29.1;1.11;29.11
930.191;29.1;1.11;29.1
935.191;29.1;1.11;29.1
940.191;29.1;1.11;29.1
945.191;29.1;1.11;29.1
950.197;29.1;1.11;29.1
955.197;29.11;1.11;29.1
960.197;29.11;1.11;29.1
965.197;29.11;1.11;29.1
970.197;29.11;1.11;29.1
975.202;29.11;1.11;29.1
980.202;29.11;1.1;29.1
985.202;29.11;1.11;29.1
990.202;29.11;1.1;29.1
995.202;29.11;1.1;29.1
1000.207;29.12;1.1;29.1
1005.207;29.11;1.1;29.1
1010.207;29.12;1.1;29.1
1015.207;29.11;1.1;29.1
1020.207;29.11;1.1;29.11
1025.212;29.11;1.1;29.11
1030.212;29.11;1.1;29.11
1035.212;29.11;1.1;29.11
1040.212;29.11;1.1;29.11
1045.212;29.11;1.1;29.11
1050.217;29.11;1.1;29.11
1055.217;29.12;1.1;29.11
1060.217;29.12;1.1;29.11
1065.217;29.13;1.09;29.11
1070.217;29.13;1.09;29.11
1075.222;29.12;1.09;29.11
1080.222;29.12;1.09;29.11
1085.222;29.11;1.1;29.11
1090.222;29.11;1.1;29.11
1095.222;29.11;1.09;29.11
1100.228;29.11;1.09;29.1
1105.228;29.11;1.09;29.11
1110.228;29.1;1.09;29.11
1115.228;29.11;1.09;29.11
1120.228;29.11;1.08;29.11
1125.233;29.11;1.08;29.1
1130.233;29.11;1.09;29.1
1135.233;29.11;1.09;29.11
1140.233;29.12;1.08;29.11
1145.233;29.11;1.09;29.11
1150.238;29.11;1.09;29.11
1155.238;29.11;1.09;29.1
1160.238;29.11;1.09;29.11
1165.238;29.11;1.08;29.11
1170.238;29.12;1.08;29.11
1175.243;29.11;1.08;29.11
1180.243;29.11;1.08;29.11
1185.243;29.11;1.08;29.11
1190.243;29.11;1.08;29.11
1195.243;29.11;1.08;29.11
1200.248;29.11;1.08;29.11
1205.248;29.1;1.08;29.11
1210.248;29.1;1.08;29.11
1215.248;29.11;1.07;29.11
1220.248;29.12;1.07;29.11
1225.253;29.11;1.07;29.11
1230.253;29.11;1.07;29.12
1235.253;29.11;1.07;29.12
1240.253;29.11;1.07;29.11
1245.253;29.12;1.07;29.11
1250.259;29.12;1.08;29.12
1255.259;29.12;1.08;29.11
1260.259;29.12;1.07;29.11
1265.259;29.12;1.07;29.11
1270.259;29.12;1.07;29.1
1275.264;29.12;1.07;29.11
1280.264;29.12;1.07;29.1
1285.264;29.11;1.07;29.11
1290.264;29.12;1.07;29.1
1295.264;29.13;1.07;29.1
1300.269;29.13;1.07;29.11
1305.269;29.13;1.07;29.11
1310.269;29.13;1.06;29.11
1315.269;29.13;1.06;29.11
1320.269;29.13;1.06;29.11
1325.274;29.13;1.06;29.11
1330.274;29.13;1.06;29.11
1335.274;29.13;1.06;29.12
1340.274;29.13;1.06;29.11
1345.274;29.13;1.06;29.11
1350.279;29.12;1.06;29.11
1355.279;29.13;1.05;29.11
1360.279;29.12;1.06;29.11
1365.279;29.12;1.06;29.11
1370.279;29.12;1.06;29.11
1375.284;29.12;1.05;29.11
1380.284;29.12;1.06;29.11
1385.284;29.12;1.06;29.11
1390.284;29.12;1.06;29.11
1395.284;29.12;1.05;29.11
1400.29;29.13;1.05;29.11
1405.29;29.13;1.05;29.11
1410.29;29.13;1.05;29.1
1415.29;29.12;1.05;29.11
1420.29;29.12;1.05;29.11
1425.295;29.13;1.05;29.12
1430.295;29.13;1.05;29.12
1435.295;29.13;1.05;29.12
1440.295;29.13;1.05;29.13
1445.295;29.12;1.05;29.13
1450.3;29.12;1.05;29.12
1455.3;29.12;1.04;29.12
1460.3;29.12;1.04;29.12
1465.3;29.12;1.04;29.12
1470.3;29.12;1.04;29.12
1475.305;29.11;1.04;29.13
1480.305;29.12;1.04;29.12
1485.305;29.13;1.04;29.12
1490.305;29.13;1.04;29.12
1495.305;29.12;1.04;29.13
1500.31;29.13;1.04;29.12
1505.31;29.13;1.04;29.12
1510.31;29.13;1.04;29.12
1515.31;29.12;1.04;29.11
1520.31;29.12;1.04;29.12
1525.315;29.11;1.03;29.12
1530.315;29.12;1.03;29.13
1535.315;29.12;1.03;29.13
1540.315;29.13;1.03;29.13
1545.315;29.13;1.03;29.13
1550.321;29.13;1.03;29.12
1555.321;29.13;1.03;29.13
1560.321;29.13;1.03;29.12
1565.321;29.13;1.03;29.12
1570.321;29.12;1.03;29.12
1575.326;29.13;1.03;29.11
1580.326;29.13;1.03;29.12
1585.326;29.13;1.02;29.12
1590.326;29.13;1.03;29.12
1595.326;29.13;1.02;29.13
1600.331;29.13;1.03;29.12
1605.331;29.13;1.03;29.12
1610.331;29.13;1.03;29.12
1615.331;29.13;1.02;29.12
1620.331;29.13;1.02;29.12
1625.336;29.13;1.02;29.12
1630.336;29.13;1.02;29.12
1635.336;29.13;1.03;29.12
1640.336;29.12;1.03;29.12
1645.336;29.12;1.02;29.12
1650.341;29.13;1.02;29.12
1655.341;29.14;1.02;29.12
1660.341;29.13;1.02;29.12
1665.341;29.13;1.02;29.13
1670.341;29.13;1.02;29.13
1675.346;29.14;1.02;29.13
1680.346;29.14;1.02;29.12
1685.346;29.13;1.01;29.12
1690.346;29.13;1.01;29.13
1695.346;29.13;1.01;29.12
1700.352;29.13;1.01;29.13
1705.352;29.12;1.01;29.13
1710.352;29.13;1.01;29.13
1715.352;29.13;1.02;29.12
1720.352;29.13;1.02;29.12
1725.357;29.13;1.02;29.13
1730.357;29.14;1.01;29.13
1735.357;29.14;1.01;29.12
1740.357;29.13;1.01;29.12
1745.357;29.14;1.01;29.12
1750.362;29.14;1.01;29.13
1755.362;29.13;1.0;29.13
1760.362;29.13;1.0;29.13
1765.362;29.13;1.0;29.13
1770.362;29.14;1.0;29.13
1775.367;29.14;1.0;29.13
1780.367;29.14;1.0;29.13
1785.367;29.15;1.0;29.13
1790.367;29.14;1.0;29.12
1795.367;29.15;1.0;29.12
1800.372;29.15;1.0;29.12
1805.372;29.15;1.0;29.12
1810.372;29.15;1.0;29.13
1815.372;29.15;1.0;29.12
1820.372;29.14;1.0;29.13
1825.377;29.15;0.99;29.13
1830.377;29.14;1.0;29.13
1835.377;29.14;1.0;29.13
